lon_map,lat_map
-180,-83.83
-178,-84.33
-174,-84.5
-170,-84.67
-166,-84.92
-163,-85.42
-158,-85.42
-152,-85.58
-146,-85.33
-147,-84.83
-151,-84.5
-153.5,-84
-153,-83.5
-154,-83
-154,-82.5
-154,-82
-154.5,-81.5
-153,-81.17
-150,-81
-146.5,-80.92
-145.5,-80.67
-148,-80.33
-150,-80
-152.5,-79.67
-155,-79.25
-157,-78.83
-157.26,-78.748
-157.51,-78.665
-157.76,-78.583
-158,-78.5
-157.67,-78.481
-157.33,-78.461
-157,-78.441
-156.67,-78.42
-154.5,-78.5
-154.5,-78.17
-154.5,-78.17
-156.67,-78.08
-158,-77.83
-158.33,-77.5
-158.67,-77.17
-157,-77
-154,-77.17
-153,-77.58
-150.5,-77.83
-148,-77.67
-146,-77.25
-146,-76.75
-146.33,-76.33
-146.67,-75.92
-144,-75.83
-142,-75.58
-140.67,-75.75
-140,-75.42
-138.33,-75.25
-136.67,-75
-135.5,-74.75
-133,-74.75
-132,-75
-130.83,-75.42
-129.67,-75.75
-128,-76
-127,-76
-126.83,-75.67
-126.33,-75.17
-125.5,-74.67
-124.5,-74.33
-124.5,-74.33
-123.33,-73.83
-123.67,-73.25
-122.33,-73.25
-121.33,-73.75
-120,-74
-120,-73.58
-119.58,-73.604
-119.17,-73.627
-118.75,-73.649
-118.33,-73.67
-117.92,-73.671
-117.5,-73.672
-117.08,-73.671
-116.67,-73.67
-116.59,-73.71
-116.5,-73.75
-116.42,-73.79
-116.33,-73.83
-116.66,-73.916
-116.99,-74.001
-117.33,-74.086
-117.67,-74.17
-117.67,-74.295
-117.67,-74.42
-117.67,-74.545
-117.67,-74.67
-117.34,-74.796
-117.01,-74.921
-116.67,-75.046
-116.33,-75.17
-115.67,-75.193
-115,-75.214
-114.34,-75.233
-113.67,-75.25
-112.33,-75
-112.5,-74.5
-112.54,-74.375
-112.59,-74.25
-112.63,-74.125
-112.67,-74
-112.5,-73.918
-112.33,-73.835
-112.17,-73.753
-112,-73.67
-111.5,-74
-111,-74.5
-110.33,-75
-108.67,-75.17
-108.5,-74.67
-109.5,-74.5
-109.5,-74
-108.33,-74
-108,-74.33
-108.5,-74.67
-107.5,-75.08
-106,-75.08
-104.5,-74.92
-104.5,-74.92
-104.5,-74.58
-102.67,-74.58
-101.33,-74.75
-100,-75
-99.5,-74.75
-101.33,-74.33
-100.67,-74
-101.5,-73.75
-101.5,-73.5
-100,-73.58
-99,-73.42
-100,-73.08
-101.33,-73.25
-102.5,-72.75
-101.33,-72.67
-101.5,-73
-99.67,-72.92
-98.5,-73.33
-98,-73.08
-97.5,-73.42
-97.5,-73.75
-96.33,-73.75
-96,-73.42
-96,-73.08
-97.5,-72.92
-98.5,-72.5
-99.67,-72.17
-100.01,-72.108
-100.34,-72.046
-100.67,-71.983
-101,-71.92
-100.71,-71.878
-100.41,-71.836
-100.12,-71.793
-99.83,-71.75
-98.33,-72
-98.33,-72
-97,-71.83
-95.67,-72.08
-95.67,-72.42
-94,-72.58
-92.25,-72.75
-90.5,-72.92
-88.75,-72.92
-87,-72.92
-85.5,-73.08
-84.33,-72.92
-83,-72.83
-81.25,-72.92
-79.5,-73
-78.5,-73.25
-78.67,-72.83
-78,-72.42
-76.5,-72.58
-75,-72.83
-74,-73
-74.5,-73.5
-73,-73.42
-71.5,-73.33
-70,-73.17
-68.5,-73.08
-67.5,-72.83
-67,-72.33
-67,-71.83
-67.5,-71.5
-67.5,-70.92
-68,-70.42
-68,-70.42
-68.5,-70
-68.5,-69.42
-67.33,-69.42
-66.67,-69.08
-67.33,-68.83
-66.83,-68.5
-66.83,-68.08
-67.5,-67.75
-67.5,-67.42
-68.5,-67.75
